Words,WordCounts,File1.txt,File2.txt,File3.txt,File4.txt
2015,2,0.0,0.010485246061587166,0.0,0.0
2016,2,0.0,0.010485246061587166,0.0,0.0
2020,1,0.0,0.005242623030793583,0.0,0.0
2024,4,0.0,0.0,0.03301159306349412,0.0
204,1,0.004855780099666897,0.0,0.0,0.0
20analytics,1,0.0,0.0,0.00825289826587353,0.0
21,1,0.0,0.005242623030793583,0.0,0.0
210,1,0.0,0.005242623030793583,0.0,0.0
21581592,4,0.0,0.0,0.03301159306349412,0.0
21st,1,0.0,0.0,0.00825289826587353,0.0
22,4,0.0,0.00413334421490529,0.01952003935992705,0.0
220,1,0.0,0.005242623030793583,0.0,0.0
22predictive,1,0.0,0.0,0.00825289826587353,0.0
23,1,0.0,0.005242623030793583,0.0,0.0
25,9,0.0,0.01653337685962116,0.03253339893321175,0.0
